lead_id,campaign_code,lead_status,total_dial_count
lead_1,asset,Customer Follow up,1
lead_2,asset,Customer Follow up,1
lead_3,asset,Customer Follow up,1
lead_4,asset,Customer Follow up,1
lead_5,asset,Customer Follow up,3
lead_6,asset,Customer Follow up,1
lead_7,asset,Customer Follow up,1
lead_8,asset,Customer Follow up,3
lead_9,asset,Customer Follow up,2
lead_10,asset,Customer Follow up,6
lead_11,asset,Customer Follow up,1
lead_12,asset,Customer Follow up,1
lead_13,asset,Customer Follow up,1
lead_14,asset,Customer Follow up,1
lead_15,asset,Customer Follow up,1
lead_16,asset,Customer Follow up,1
lead_17,asset,Customer Follow up,1
lead_18,asset,Customer Follow up,1
lead_19,asset,Customer Follow up,1
lead_20,asset,Customer Follow up,1
lead_21,asset,Customer Follow up,1
lead_22,asset,Customer Follow up,1
lead_23,asset,Customer Follow up,1
lead_24,asset,Customer Follow up,3
lead_25,asset,Customer Follow up,1
lead_26,asset,Customer Follow up,1
lead_27,asset,Customer Follow up,5
lead_28,asset,Customer Follow up,3
lead_29,asset,Customer Follow up,1
lead_30,asset,Customer Follow up,6
lead_31,asset,Customer Follow up,2
lead_32,asset,Customer Follow up,1
lead_33,asset,Customer Follow up,2
lead_34,asset,Customer Follow up,3
lead_35,asset,Customer Follow up,5
lead_36,asset,Customer Follow up,2
lead_37,asset,Customer Follow up,3
lead_38,asset,Customer Follow up,1
lead_39,asset,Customer Follow up,1
lead_40,asset,Customer Follow up,1
lead_41,asset,Customer Follow up,2
lead_42,asset,Customer Follow up,5
lead_43,asset,Customer Follow up,4
lead_44,asset,Customer Follow up,2
lead_45,asset,Customer Follow up,4
lead_46,asset,Customer Follow up,3
lead_47,asset,Customer Follow up,2
lead_48,asset,Customer Follow up,2
lead_49,asset,Customer Follow up,1
lead_50,asset,Customer Follow up,1
lead_51,asset,Customer Follow up,1
lead_52,asset,Customer Follow up,3
lead_53,asset,Customer Follow up,3
lead_54,asset,Customer Follow up,2
lead_55,asset,Customer Follow up,2
lead_56,asset,Customer Follow up,2
lead_57,asset,Customer Follow up,2
lead_58,asset,Customer Follow up,2
lead_59,asset,Customer Follow up,2
lead_60,asset,Customer Follow up,2
lead_61,asset,Customer Follow up,1
lead_62,asset,Customer Follow up,3
lead_63,asset,Customer Follow up,3
lead_64,asset,Customer Follow up,1
lead_65,asset,Customer Follow up,1
lead_66,asset,Customer Follow up,4
lead_67,asset,Customer Follow up,1
lead_68,asset,Customer Follow up,2
lead_69,asset,Customer Follow up,1
lead_70,asset,Customer Follow up,2
lead_71,asset,Customer Follow up,1
