lead_id,source_code,category code
lead_1,source1,source1_1
lead_2,source5,
lead_3,source1,source1_2
lead_4,source1,source1_3
lead_5,source1,source1_4
lead_6,source1,source1_5
lead_7,source1,source1_4
lead_8,source5,
lead_9,source2,source2_4
lead_10,source1,source1_6
lead_11,source5,
lead_12,source5,   
lead_13,source2,source2_4
lead_14,source1,source1_6
lead_15,source5,
lead_16,source1,source1_4
lead_17,source5,
lead_18,source5,
lead_19,source1,source1_4
lead_20,source1,source1_7
lead_21,source1,source1_7
lead_22,source1,source1_2
lead_23,source 5,
lead_24,source1,source1_4
lead_25,source5,
lead_26,source1,source1_7
lead_27,source1,source1_4
lead_28,source1,source1_3
lead_29,source1,source1_7
lead_30,source1,source1_8
lead_31,source1,source1_9
lead_32,source1,source1_7
lead_33,source1,source1_7
lead_34,source1,source1_7
lead_35,source1,source1_4
lead_36,source1,source1_4
lead_37,source5 ,
lead_38,source5,
lead_39,source2,source2_4
lead_40,source1,source1_10
lead_41,source1,source1_1
lead_42,source2,source2_4
lead_43,source1,source1_7
lead_44,source1,source1_4
lead_45,source1,source1_10
lead_46,source1,source1_4
lead_47,source1,source1_7
lead_48,source1,source1_7
lead_49,source2,source2_4
lead_50,source1,source1_7
lead_51,source1,source1_2
lead_52,source1,source1_7
lead_53,source2       ,source2_4
lead_54,source1,source1_2
lead_55,source1,source1_7
lead_56,source5,
lead_57,source2,source2_4
lead_58,source1,source1_3
lead_59,source1,source1_7
lead_60,source1,source1_4
lead_61,source1,source1_7
lead_62,source1,source1_3
lead_63,source1,source1_7
lead_64,source1,source1_2
lead_65,source1,source1_3
lead_66,source1,source1_7
lead_67,source5,
lead_68,source1,source1_7
lead_69,source1,source1_1
lead_70,source1,source1_7
lead_71,source1,source1_4
lead_72,source1,source1_4
lead_73,source3,source3_4
lead_74,source1,source1_1
lead_75,source1,source1_4
lead_76,source5,
lead_77,source1,source1_4
lead_78,source2,source2_4
lead_79,source1,source1_11
lead_80,source2,source2_4
lead_81,source1,source1_3
lead_82,source1,source1_4
lead_83,source3,source3_6
lead_84,source1,source1_4
lead_85,source1,source1_12
lead_86,source1,source1_13
lead_87,source5,
lead_88,source1,source1_4
lead_89,source1,source1_10
lead_90,source2,source2_4
lead_91,source1,source1_7
lead_92,source1,source1_7
lead_93,source1,source1_2
lead_94,source1,source1_1
lead_95,source2,source2_4
lead_96,source1,source1_7
lead_97,source5 ,
lead_98,source1,source1_7
lead_99,source1,source1_3
lead_100,source2,source2_4
lead_101,source1,source1_4
lead_102,source2,source2_4
lead_103,source1,source1_11
lead_104,source2,source2_4
lead_105,source1,source1_7
lead_106,source5,
lead_107,source1,source1_10
lead_108,source5,
lead_109,source1,source1_7
lead_110,source1,source1_2
lead_111,source1,source1_7
lead_112,source1,source1_9
lead_113,source5,
lead_114,source1,source1_3
lead_115,source1,source1_6
lead_116,source2,source2_4
lead_117,source1,source1_7
lead_118,source1,source1_7
lead_119,source1,source1_14
lead_120,source2,source2_4
lead_121,source5,
lead_122,source1,source1_2
lead_123,source2,source2_4
lead_124,source5,
lead_125,source1,source1_2
lead_126,source1,source1_2
lead_127,source1,source1_4
lead_128,source1,source1_4
lead_129,source5,
lead_130,source1,source1_7
lead_131,source1,source1_3
lead_132,source1,source1_11
lead_133,source1,source1_6
lead_134,source5 ,
lead_135,source1,source1_10
lead_136,source1,source1_4
lead_137,source1,source1_2
lead_138,source1,source1_2
lead_139,source1,source1_7
lead_140,source1,source1_2
lead_141,source1,source1_7
lead_142,source2,source2_1
lead_143,source1,source1_7
lead_144,source5,
lead_145,source1,source1_5
lead_146,source1,source1_7
lead_147,source1,source1_7
lead_148,source3,source3_6
lead_149,source1,source1_6
lead_150,source1,source1_7
lead_151,source2,source2_4
lead_152,source1,source1_7
lead_153,source2,source2_4
lead_154,source1,source1_2
lead_155,source1,source1_10
lead_156,source5,
lead_157,source1,source1_7
lead_158,source5,
lead_159,source1,source1_15
lead_160,source1,source1_4
lead_161,source1,source1_2
