lead_id,credit_score,current_pincode,current_city,age_band,earning_per_month,credit_limit,credit_utilization,total_credit_cards,home_loan_amount,home_loan_balance_amount,total_home_loans,home_emi,total_cars,car_loan_amount,car_loan_balance_amount
lead_43420,798,560066,Bangalore,25-29,150K-200K,345000,54402,1,2357404,2331211,1,"18,429/Monthly",0,,
lead_31728,804,560045,Bangalore,45-49,400K-500K,2706000,952557,4,0,0,0,,1,,
lead_31728,804,560045,Bangalore,45-49,400K-500K,2706000,979283,4,0,0,0,,1,,
lead_61161,510,506163,Warangal,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_61161,510,394210,Surat,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_62575,674,500077,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_62575,743,500077,Rangareddy,25-29,40K-50K,80000,60918,2,0,0,0,,0,,
lead_58705,855,560066,Bangalore,40-44,300K-400K,600000,179,3,6900000,6032027,1,"54,617/Monthly",2,,
lead_54524,510,500008,Hyderabad,60 and Above,Less than 30K,74000,60664,2,0,0,0,,0,,
lead_54524,510,500024,Hyderabad,Less than 20,Less than 30K,37000,36609,1,0,0,0,,0,,
lead_53375,739,517408,Chittoor,40-44,300K and Above,0,296284,3,31000000,30140963,1,,0,,
lead_53375,739,560037,Bangalore,40-44,600K and Above,0,296284,3,31000000,30057329,1,"3,08,915/Monthly",0,,
lead_58486,830,560037,Bangalore,35-39,300K-400K,455000,41107,3,3000000,476801,1,"8,000/Monthly",0,,
lead_38539,732,560043,Bangalore,20-24,200K-250K,0,0,0,4000000,3691424,1,"46,496/Monthly",0,,
lead_42919,743,560066,Bangalore,25-29,200K-250K,406000,40393,2,4928000,4901344,1,"43,293/Monthly",0,,
lead_37399,629,560049,Bangalore,35-39,150K and 200K,0,0,0,3836000,3774546,1,,0,,
lead_47764,829,560067,Bangalore,35-39,200K and 250K,450000,3,1,4542000,1192663,1,,0,,
lead_47618,535,560064,Bangalore,40-44,150K-200K,330000,33046,1,0,0,0,,0,,
lead_36298,754,560067,Bangalore,20-24,200K-250K,474000,415344,1,0,0,0,,0,,
lead_2908,805,560064,Bangalore,35-39,250K-300K,150000,40120,4,0,0,0,,0,,
lead_40775,741,560105,Bangalore,30-34,150K-200K,670000,307160,5,0,0,0,,0,,
lead_58041,851,560103,Bangalore,35-39,600K and Above,1418000,46150,7,14500000,6452942,2,"47,630/Monthly",2,,
lead_35526,855,560068,Bangalore,40-44,150K-200K,412000,20521,4,3450000,115922,1,"26,748/Monthly",1,,
lead_57401,678,560103,Bangalore,35-39,500K-600K,1000000,243443,1,0,0,0,,0,,
lead_41537,820,560066,Bangalore,30-34,150K-200K,997000,101117,5,2500000,1473357,1,"18,759/Monthly",0,,
lead_30252,800,560063,Bangalore,40-44,300K-400K,0,0,0,6031876,1545598,1,"53,725/Monthly",0,,
lead_53744,856,560078,Bangalore,50-54,600K and Above,1920000,368061,2,0,0,0,,0,,
lead_40970,805,560087,Bangalore,45-49,200K-250K,0,0,0,4000000,3383191,1,"37,092/Monthly",0,,
lead_46720,783,560068,Bangalore,25-29,150K-200K,574000,52474,3,0,0,0,,0,,
lead_62466,844,560103,Bangalore,30-34,500K-600K,1535000,230913,3,10700000,3104321,1,"99,004/Monthly",2,,
lead_7234,797,560024,Bangalore,35-39,300K-400K,3451000,65005,11,2380196,2216940,2,,0,,
lead_47302,817,560087,Bangalore,30-34,250K-300K,1468002,50639,4,0,0,0,,0,,
lead_38976,822,560066,Bangalore,25-29,200K-250K,1982000,58,6,0,0,0,,0,,
lead_39775,845,560043,Bangalore,40-44,200K-250K,995000,116037,6,4921500,3035906,1,"27,276/Monthly",1,,
lead_42938,800,560087,Bangalore,35-39,150K-200K,0,0,0,3853440,1070673,1,"15,420/Monthly",0,,
lead_50191,815,560067,Bangalore,45-49,400K-500K,3855000,22204,8,0,0,0,,0,,
lead_43751,822,560049,Bangalore,30-34,150K-200K,354300,11235,2,0,0,0,,0,,
lead_62530,552,500082,Hyderabad,30-34,50K-60K,0,0,0,0,0,0,,0,,
lead_54040,510,500023,Hyderabad,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_54040,510,500002,Hyderabad,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_40796,803,560066,Bangalore,30-34,250K-300K,783000,53132,6,6270816,6182064,2,"5,979/Monthly",0,,
lead_3675,796,560043,Bangalore,45-49,250K-300K,60000,8665,1,5885000,5861587,1,"24,740/Monthly",0,,
lead_639,736,560064,Bangalore,30-34,300K-400K,1190000,707849,5,6490000,6396207,2,"6,752/Monthly",0,,
lead_4092,789,560097,Bangalore,20-24,300K-400K,1553000,167561,7,0,0,0,,0,,
lead_41034,768,560049,Bangalore,45-49,250K-300K,140000,64581,2,5248000,5705425,1,"55,342/Monthly",1,,
lead_43274,768,560068,Bangalore,25-29,150K-200K,0,0,0,3573450,3573447,1,"27,725/Monthly",0,,
lead_58671,760,560048,Bangalore,25-29,300K-400K,298742,240936,3,7000000,4711414,1,"37,345/Monthly",1,2500000.0,2233654.0
lead_43163,812,560066,Bangalore,35-39,200K and 250K,556000,902936,7,6226975,4615423,4,,1,,
lead_44305,855,560066,Bangalore,40-44,200K-250K,154500,5104,2,4120000,4006161,1,,2,,
lead_41296,867,560067,Bangalore,40-44,150K-200K,880000,25734,5,0,0,0,,1,,
lead_10688,845,560097,Bangalore,40-44,300K-400K,528000,10623,3,7000000,5911635,1,"54,373/Monthly",1,352000.0,0.0
lead_47887,573,560066,Bangalore,45-49,150K-200K,0,0,0,0,0,0,,0,,
